user,ILD,model
266,0.7,CF (KNNBasic)
74,0.7,CF (KNNBasic)
238,0.7,CF (KNNBasic)
319,0.6796296296296296,CF (KNNBasic)
323,0.7,CF (KNNBasic)
67,0.7555555555555555,CF (KNNBasic)
211,0.7,CF (KNNBasic)
98,0.8,CF (KNNBasic)
12,0.7,CF (KNNBasic)
40,0.7,CF (KNNBasic)
258,0.7,CF (KNNBasic)
228,0.7,CF (KNNBasic)
325,0.7,CF (KNNBasic)
320,0.7,CF (KNNBasic)
326,0.6777777777777778,CF (KNNBasic)
327,0.7,CF (KNNBasic)
183,0.7,CF (KNNBasic)
328,0.7,CF (KNNBasic)
322,0.7,CF (KNNBasic)
330,0.7,CF (KNNBasic)
27,0.7,CF (KNNBasic)
331,0.7,CF (KNNBasic)
332,0.7,CF (KNNBasic)
329,0.7,CF (KNNBasic)
86,0.7,CF (KNNBasic)
139,0.7,CF (KNNBasic)
300,0.7555555555555555,CF (KNNBasic)
163,0.7,CF (KNNBasic)
333,0.7,CF (KNNBasic)
334,0.7,CF (KNNBasic)
39,0.7,CF (KNNBasic)
324,0.7,CF (KNNBasic)
132,0.7,CF (KNNBasic)
336,0.7888888888888889,CF (KNNBasic)
335,0.6444444444444444,CF (KNNBasic)
169,0.7,CF (KNNBasic)
338,0.7,CF (KNNBasic)
339,0.7,CF (KNNBasic)
309,0.7,CF (KNNBasic)
342,0.7,CF (KNNBasic)
340,0.7555555555555555,CF (KNNBasic)
317,0.7555555555555555,CF (KNNBasic)
341,0.8111111111111111,CF (KNNBasic)
343,0.7,CF (KNNBasic)
344,0.7,CF (KNNBasic)
345,0.7,CF (KNNBasic)
346,0.7,CF (KNNBasic)
347,0.7,CF (KNNBasic)
273,0.6796296296296296,CF (KNNBasic)
55,0.7888888888888889,CF (KNNBasic)
349,0.7888888888888889,CF (KNNBasic)
348,0.7648148148148148,CF (KNNBasic)
354,0.7,CF (KNNBasic)
351,0.7,CF (KNNBasic)
358,0.7888888888888889,CF (KNNBasic)
352,0.7,CF (KNNBasic)
360,0.7,CF (KNNBasic)
363,0.7,CF (KNNBasic)
355,0.7,CF (KNNBasic)
362,0.7481481481481482,CF (KNNBasic)
357,0.7,CF (KNNBasic)
356,0.7,CF (KNNBasic)
361,0.7,CF (KNNBasic)
365,0.7,CF (KNNBasic)
350,0.7,CF (KNNBasic)
367,0.7,CF (KNNBasic)
368,0.7481481481481481,CF (KNNBasic)
371,0.7555555555555555,CF (KNNBasic)
373,0.7,CF (KNNBasic)
370,0.7,CF (KNNBasic)
374,0.7,CF (KNNBasic)
372,0.7,CF (KNNBasic)
337,0.7333333333333334,CF (KNNBasic)
378,0.7,CF (KNNBasic)
366,0.7888888888888889,CF (KNNBasic)
377,0.7,CF (KNNBasic)
375,0.7481481481481481,CF (KNNBasic)
359,0.7,CF (KNNBasic)
379,0.7,CF (KNNBasic)
380,0.7,CF (KNNBasic)
381,0.7,CF (KNNBasic)
385,0.8,CF (KNNBasic)
382,0.7,CF (KNNBasic)
387,0.7,CF (KNNBasic)
364,0.7,CF (KNNBasic)
369,0.7,CF (KNNBasic)
388,0.7,CF (KNNBasic)
386,0.7888888888888889,CF (KNNBasic)
389,0.7,CF (KNNBasic)
383,0.7,CF (KNNBasic)
390,0.7,CF (KNNBasic)
393,0.7,CF (KNNBasic)
392,0.7,CF (KNNBasic)
376,0.7,CF (KNNBasic)
394,0.7481481481481481,CF (KNNBasic)
391,0.7,CF (KNNBasic)
398,0.8,CF (KNNBasic)
397,0.7,CF (KNNBasic)
399,0.7,CF (KNNBasic)
396,0.7648148148148148,CF (KNNBasic)
401,0.7,CF (KNNBasic)
402,0.7,CF (KNNBasic)
384,0.7,CF (KNNBasic)
395,0.7,CF (KNNBasic)
353,0.7,CF (KNNBasic)
403,0.7888888888888889,CF (KNNBasic)
405,0.7,CF (KNNBasic)
400,0.7,CF (KNNBasic)
406,0.7,CF (KNNBasic)
407,0.7,CF (KNNBasic)
409,0.7,CF (KNNBasic)
404,0.7,CF (KNNBasic)
413,0.7,CF (KNNBasic)
416,0.7648148148148148,CF (KNNBasic)
408,0.7,CF (KNNBasic)
410,0.7,CF (KNNBasic)
411,0.7111111111111111,CF (KNNBasic)
417,0.7,CF (KNNBasic)
412,0.7,CF (KNNBasic)
420,0.7,CF (KNNBasic)
422,0.7,CF (KNNBasic)
425,0.7,CF (KNNBasic)
419,0.7,CF (KNNBasic)
415,0.7,CF (KNNBasic)
423,0.7,CF (KNNBasic)
429,0.7,CF (KNNBasic)
428,0.7,CF (KNNBasic)
427,0.7,CF (KNNBasic)
418,0.7,CF (KNNBasic)
424,0.7,CF (KNNBasic)
432,0.7,CF (KNNBasic)
421,0.7,CF (KNNBasic)
435,0.7,CF (KNNBasic)
433,0.7,CF (KNNBasic)
426,0.7,CF (KNNBasic)
436,0.7,CF (KNNBasic)
430,0.7,CF (KNNBasic)
434,0.7,CF (KNNBasic)
437,0.7,CF (KNNBasic)
438,0.7,CF (KNNBasic)
431,0.7,CF (KNNBasic)
